"","SuperClass","Class"
"1","Phenylpropanoids and polyketides","Flavonoids"
"2","Phenylpropanoids and polyketides","Isoflavonoids"
"3","Benzenoids","Benzene and substituted derivatives"
"4","Organic oxygen compounds","Organooxygen compounds"
"5","Phenylpropanoids and polyketides","Flavonoids"
"6","Benzenoids","Benzene and substituted derivatives"
"7","Lipids and lipid-like molecules","Prenol lipids"
"8","Organoheterocyclic compounds","Benzoxazoles"
"9","Phenylpropanoids and polyketides","Isoflavonoids"
"10","Organic oxygen compounds","Organooxygen compounds"
"11","Phenylpropanoids and polyketides","Flavonoids"
"12","Organic oxygen compounds","Organooxygen compounds"
"13","Phenylpropanoids and polyketides","Flavonoids"
"14","Benzenoids","Phenols"
"15","Organic oxygen compounds","Organooxygen compounds"
"16","Phenylpropanoids and polyketides","Flavonoids"
"17","Organic acids and derivatives","Hydroxy acids and derivatives"
"18","Benzenoids","Phenols"
"19","Phenylpropanoids and polyketides","Diarylheptanoids"
"20","Organic acids and derivatives","Carboxylic acids and derivatives"
"21","Organic oxygen compounds","Organooxygen compounds"
"22","Benzenoids","Phenols"
"23","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"24","Phenylpropanoids and polyketides","Flavonoids"
"25","Organoheterocyclic compounds","Imidazopyrimidines"
"26","Phenylpropanoids and polyketides","Flavonoids"
"27","Benzenoids","Benzene and substituted derivatives"
"28","Benzenoids","Benzene and substituted derivatives"
"29","Benzenoids","Phenols"
"30","Organic acids and derivatives","Carboxylic acids and derivatives"
"31","Phenylpropanoids and polyketides","Flavonoids"
"32","Organic acids and derivatives","Carboxylic acids and derivatives"
"33","Organic acids and derivatives","Carboxylic acids and derivatives"
"34","Organic acids and derivatives","Carboxylic acids and derivatives"
"35","Organoheterocyclic compounds","Benzoxazines"
"36","Organic oxygen compounds","Organooxygen compounds"
"37","Organic acids and derivatives","Peptidomimetics"
"38","Phenylpropanoids and polyketides","Isoflavonoids"
"39","Organic oxygen compounds","Organooxygen compounds"
"40","Organic oxygen compounds","Organooxygen compounds"
"41","Organic oxygen compounds","Organooxygen compounds"
"42","Phenylpropanoids and polyketides","Tannins"
"43","Phenylpropanoids and polyketides","Flavonoids"
"44","Organic oxygen compounds","Organooxygen compounds"
"45","Benzenoids","Phenols"
"46","Phenylpropanoids and polyketides","Cinnamic acids and derivatives"
"47","Organic acids and derivatives","Carboxylic acids and derivatives"
"48","Phenylpropanoids and polyketides","Flavonoids"
"49","Phenylpropanoids and polyketides","Isoflavonoids"
"50","Phenylpropanoids and polyketides","Isoflavonoids"
"51","Organic oxygen compounds","Organooxygen compounds"
"52","Lipids and lipid-like molecules","Prenol lipids"
"53","Benzenoids","Benzene and substituted derivatives"
"54","Organic oxygen compounds","Organooxygen compounds"
"55","Organic oxygen compounds","Organooxygen compounds"
"56","Organic oxygen compounds","Organooxygen compounds"
"57","Lipids and lipid-like molecules","Fatty Acyls"
"58","Phenylpropanoids and polyketides","Flavonoids"
"59","Organoheterocyclic compounds","Indoles and derivatives"
"60","Lignans, neolignans and related compounds","Dibenzylbutane lignans"
"61","Phenylpropanoids and polyketides","Flavonoids"
"62","Organic oxygen compounds","Organooxygen compounds"
"63","Phenylpropanoids and polyketides","Flavonoids"
"64","Benzenoids","Benzene and substituted derivatives"
"65","Phenylpropanoids and polyketides","Flavonoids"
"66","Phenylpropanoids and polyketides","Flavonoids"
"67","Organic oxygen compounds","Organooxygen compounds"
"68","Phenylpropanoids and polyketides","Flavonoids"
"69","Benzenoids","Phenols"
"70","Phenylpropanoids and polyketides","Flavonoids"
"71","Phenylpropanoids and polyketides","Flavonoids"
